symbol,1,2,3,4,5,6,7,8,9,10,11,12
TSPAN6,0.094247364,0.220188102,0.04438365,-0.145129292,-0.241332462,1.421440506,0.145359625,1.431994162,-0.110229774,0.219953657,-0.054167302,0.553569092
CD99,0.766148369,-0.626022236,0.15604031,-1.786713722,-0.295475975,-1.253533099,-0.469616367,0.476075811,0.373887405,-0.797708931,-0.772988703,-0.160275973
RBM5,1.361278958,-0.466800277,1.412453142,0.049241435,0.062809681,-2.471018573,-1.159185456,-0.986055801,-1.636663655,0.510193258,-0.062057631,0.247900031
PHTF2,-0.980908116,0.264612477,0.419804714,0.640027455,0.205754202,2.900288789,-0.089533607,2.041889577,-0.022961249,0.279046223,-0.530037084,-0.074082735
COX10,-1.267039404,0.532602897,-0.12881487,0.831056707,0.494080352,2.109632055,0.382645101,-0.896293272,1.009255442,0.55538371,-0.940291851,-0.515795954
MLXIPL,0.321566078,-0.23045987,0.490903883,-0.133521023,-0.339380264,-2.040728746,-0.696979067,-1.409866591,-1.555182283,0.615961478,-0.008544745,-0.504493557
RANBP9,0.763398796,-0.009890786,0.826905531,0.584639217,-0.155178719,0.885674091,0.462589175,0.8039508,-0.161074414,-0.603325671,-0.249943613,-0.110459626
STAB1,2.468112043,1.265687772,-0.430584575,-0.615214723,0.006517642,-0.346615775,-0.445604073,3.124323799,-0.615214723,-0.615214723,0.553831249,0.05625053
MKS1,-0.748344479,-0.642449966,-0.997920222,-0.994388906,-0.538731343,1.799707398,-0.088102675,3.149912059,0.46359365,-0.466045626,0.922778535,-0.885347604
PHLDB1,-1.428694737,-0.467786312,0.099511856,-0.527994686,-1.351884516,0.543358758,-0.411883283,2.090947606,-1.898000315,-1.247025366,-1.162968535,-0.237797727
OSBPL5,-0.075278934,-0.302353184,-0.096617676,0.422407908,-0.712593244,-0.579460734,-1.507380591,0.100291787,-2.001409856,-0.781273292,-0.93332341,-0.477062046
RNH1,0.497199623,0.276303624,0.431890313,0.22874282,-0.765020999,0.833454472,1.214306016,0.820564516,0.59634812,0.182789713,-0.176966228,0.943665031
NCAPH2,-0.165947678,-0.934955218,-0.473934633,-0.110027485,-0.016612663,3.206009961,1.636703907,1.567892754,0.811475129,-0.046729867,-0.740950957,-0.703447805
B4GALT7,-1.138931978,0.882358874,-0.199753629,-0.618903406,-0.015255883,2.247537528,0.692669073,2.58669582,-0.450367183,0.019179149,0.266487318,-1.003161882
VEZT,0.623732839,0.68615333,0.905944776,0.235703232,0.127665,0.398649348,0.718116555,1.034508146,0.345724935,-0.095856466,0.030308015,0.094022161
ADSS,0.156534207,0.185105012,0.417447295,0.518554201,0.534116817,1.235761022,1.071198662,0.782295938,0.906870615,0.496065941,0.378503038,0.622814534
CUL3,0.160433762,0.533543388,0.410814968,0.683827168,0.572351222,0.689981727,0.640960049,0.303897545,0.049121979,0.045448907,0.010514389,0.153735197
GEMIN8,0.172377268,-0.165249238,0.283953437,0.698126145,-0.492830596,0.714337819,-0.091640195,2.963052725,-0.134406226,-0.175337953,-0.677454718,-2.347196165
POLR2B,0.33659583,0.188802456,0.364710586,0.356353812,0.264286338,0.601596317,0.715028992,0.61363228,0.364593467,-0.056138804,-0.05413962,0.219099982
RRM2B,0.764438398,0.465296112,0.378451407,0.278724095,-0.110601606,0.787913085,0.642016324,1.249420836,0.295555378,0.032362173,-0.241630265,0.389949721
ZNF800,0.399395217,0.772861503,1.807737854,0.062404274,-0.008672903,0.446432168,0.046125388,-1.106319696,0.319000066,-0.642834139,-0.196473916,0.285862599
FSTL4,-0.539374895,-0.09652848,-0.644218273,3.838714204,-0.644218273,-0.4800623,-0.644218273,-0.334487181,0.831457562,-0.021322486,0.777101711,-0.540958032
KCNQ1,0.044413742,0.725095034,1.030324639,0.400758212,-0.391664571,-2.697900172,-0.262517631,-2.138437424,-1.241748754,-0.391612439,-0.306642842,-0.254511249
SDCCAG8,-0.664710858,0.199058384,0.45815734,0.949781613,0.379243062,-0.306513301,1.120916469,0.736143606,0.052955271,1.280069139,0.406272282,0.935382877
RPL18,0.145801174,-0.935608324,-1.020812412,-1.396979163,-0.480184445,-1.348435548,-1.002397955,-0.904858062,-0.04743656,-0.193517408,-0.180658378,-0.049926348
TAF2,-1.45252967,-0.191450032,0.639745164,0.010272689,-0.631546688,2.959507153,-0.325533791,1.558646994,0.278358986,-0.019048686,-0.805201451,-1.189725075
CYB5R4,1.015484941,0.88700721,0.657945352,0.727421335,0.378611242,0.147654914,0.377647439,-0.054609038,0.664282487,-0.277552482,0.061131471,0.393907926
TIE1,-0.46010065,0.094158238,-0.790676792,-0.707673414,0.945067214,0.858224519,-0.594327712,-0.295537716,3.659929235,-0.635545995,-0.632680183,-0.851392857
LRRC40,0.242431565,0.174438077,0.405055786,0.361238805,0.718213099,1.111161339,0.821963896,0.947744229,0.916776277,0.230480206,0.252187151,0.948283001
TRMT11,1.114386775,0.590518185,-0.967838544,0.846565108,0.063616211,1.887168381,0.453875311,0.775599527,1.004543919,0.237498775,0.457821159,-0.302668826
DHX29,0.055504567,0.471626423,0.650101713,0.990929025,0.400839831,0.999074859,0.719430806,0.722874828,0.849056294,0.132565529,0.166311894,0.2698215
IFI35,-0.028774765,-0.668728011,-0.381407861,-0.346189395,0.106464303,3.20177811,0.461814565,2.263071767,0.65594428,0.081112098,0.097779279,-0.586770978
BCL3,0.117235506,-0.873538586,-0.515653529,-0.210914053,-0.072501106,-2.090666993,0.195112142,-1.601639958,-0.774668005,0.61798185,-0.175535172,-0.653433946
CDC42,0.33762264,0.379173116,0.695449972,0.554629389,0.672215065,-0.281905933,0.69365776,-0.498502888,0.299497579,0.179120204,0.147655849,0.350745847
CPSF1,0.058583337,-1.107187335,-0.474408087,0.093956104,-0.96622025,2.499036863,-0.308384346,2.409060231,-0.231018426,-0.22350399,-0.298725295,0.001895377
LIMS2,0.333607059,-0.197327874,-0.404157579,-0.302936703,-0.360481767,2.868349094,-0.73196475,0.312530925,-1.207053666,0.158716076,-0.521598813,-0.997481588
HSD17B10,0.05680909,-0.647114183,-0.119682825,-0.317418846,-0.179745181,2.527877592,0.738718117,2.094240728,1.172007698,0.217934992,-0.07785115,0.428188168
XRCC1,-1.241658326,-1.465510359,-0.557986703,-0.406448675,0.064497845,1.57187511,-0.164432162,2.937560574,1.247946998,0.310937694,-0.616067263,0.938964957
LLGL2,0.694358132,0.921365385,1.141111919,0.851998741,0.218451482,-2.246890954,-0.239264045,-2.30530746,-0.831961193,-0.324710814,-0.41015806,-0.439356206
DPP8,0.714131082,-0.104293061,1.264957193,0.818044261,0.387768847,-0.55597085,0.002669419,0.031935422,-0.405504787,0.264504155,-1.905845379,0.323624343
LMAN1,0.267154496,0.619017262,0.592969647,0.467080151,0.383819387,-0.275702481,-0.215442864,-0.376973447,-0.621228297,-0.078776311,-0.017613995,0.018673623
ICAM3,0.105953009,-0.528022908,-0.52802296,-0.52802296,-0.528022705,-0.52607391,-0.52802296,2.370935171,-0.527185321,1.239185098,-0.52802296,-0.52802296
SNRPA,-1.01604858,-0.538364894,-1.567768005,-0.23407027,-1.211777271,1.670367127,0.213366667,1.206951958,1.21801661,0.62831905,0.468433947,0.979510916
SENP1,0.244685945,-0.308275647,0.500756097,1.438732546,0.320956226,1.388511004,0.170411511,1.098738467,0.440549237,-1.030442488,0.561690138,0.251223285
KIF22,-1.243253566,-0.709427383,-0.746504811,-0.628876641,-0.678046399,2.224193381,1.348468775,0.879126935,1.507111427,1.119160323,0.573485523,0.711073123
STK17B,0.178388967,0.8545752,-0.003942594,0.77327678,-0.05265399,-0.187531775,0.175223345,0.398897223,-0.658855078,-0.514583085,-0.088849095,0.223737027
TXLNG,0.30582714,0.416098359,0.787868667,1.153945886,0.085055831,1.39537041,0.78921173,0.772660586,0.674376715,-0.08836509,-0.110396636,0.344541647
MTMR2,0.257408725,1.668198624,0.595131348,0.292285365,-0.356927681,2.322626743,0.422264111,1.426583691,0.743383859,-0.34128978,0.058676914,0.770341979
SRRT,-0.275646595,-1.145062658,0.306721224,-0.952626528,-0.928765861,2.91643311,0.679580481,0.770817341,1.101538057,0.716897051,-0.403057186,0.611447357
RFX2,0.502715337,1.524763549,-0.089526372,-1.859973901,1.338496554,0.188194834,-0.570440321,0.457588986,-0.98847339,-1.516059874,-0.691600413,-0.079589665
SULT2B1,0.400995654,0.054810714,-0.197087407,0.60877293,0.697308864,-2.139765421,0.882905419,-1.578607979,-0.480515083,-0.187632061,-0.095076128,0.294297436
CNOT3,0.205619011,0.769719043,0.382128851,-1.007030829,-0.847758001,0.664701951,-2.024213909,0.915963323,0.045034248,-0.55686324,-1.231495374,1.017397283
COQ9,-0.429716046,-0.415667198,0.791789228,0.21574006,0.532710879,-0.02148148,0.913070174,-1.267467745,1.578370194,-0.554025202,-0.209734892,0.117870292
TRMT6,-0.407585185,0.176134919,0.862859132,0.449443329,-0.333632396,2.958145397,1.158643201,1.833705524,1.140569505,-0.569903676,-0.106749282,-0.284797861
LAG3,0.098508263,-0.229247306,-0.576891547,-0.193030052,0.017901166,0.062489255,-0.112911129,-0.266437863,-0.473273814,0.111806001,0.352076595,-0.754280944
BLVRB,1.473319358,0.047892749,0.372476116,-0.533173971,1.215654784,-1.258079457,-0.920178406,-1.498603932,0.477956685,-0.190641331,-0.140718612,-0.888723663
RAB11FIP3,-1.345708193,0.400060882,0.825221528,0.489669924,-1.22107013,-2.896591511,-0.301921527,-0.425318921,-0.954493286,0.136573042,0.99929069,1.362456943
GNPTG,-0.163765706,-1.823905507,-1.168223623,0.111474377,0.026182551,-1.313080462,0.72224968,-0.704463947,-0.22227343,-0.982534176,0.692277134,0.415382396
SCFD1,0.286514558,0.114850221,0.412134124,0.417387268,0.213817861,1.077298146,0.672752974,1.012237977,0.456683088,0.351501121,0.086235775,0.434996764
HDAC6,0.781391596,-1.870888366,1.447897131,0.133234996,-0.818235158,-0.850956241,0.3234331,2.335856878,-0.329648492,0.612612017,-0.83903498,-2.04042369
AAAS,0.50108131,-0.919493712,-0.442371632,-0.583910179,-0.415687958,2.563857811,0.888805933,2.087970759,0.791179874,0.007740326,-0.793413262,0.256977801
PSMD5,0.143398828,0.595521287,0.404607816,0.905975662,-0.214597673,0.823499196,0.867024757,0.563308435,0.524040582,0.031447409,-0.122313876,0.239709104
RASSF7,1.071621856,-0.565347936,0.101511675,-0.353230067,-0.016949314,-2.939767819,-0.931345183,-1.559236824,-1.018163294,0.260768118,0.654923871,-0.699710039
TRMT2A,-0.332497564,-1.641245582,-0.973296655,-0.837510719,-0.089094382,2.855852121,1.158072637,0.593773439,0.635257486,-0.102869482,-0.049447656,0.436484137
GGT5,0.342587579,-0.098254302,-0.131817505,1.960094124,2.494051185,-0.450376978,-0.784822406,1.194509544,-0.349389998,0.391455721,-0.769369119,-1.391986108
SNRPD3,-1.179818915,-0.16069205,-0.734986544,0.174265618,0.423764305,2.474280461,0.716598617,1.461492175,0.554870611,-0.360322107,-0.032801768,-0.242204277
CARD10,0.173897018,0.050969231,1.405314266,1.078709705,0.011914806,-3.083705756,-0.424516775,-2.312342373,-0.841561229,0.390400496,0.05614145,-0.089407748
CCDC134,-0.736372067,-0.535281883,-0.570138369,1.126449872,-0.534882942,2.808431025,1.165713298,1.171892868,-0.851324636,-1.208295705,-1.663072271,-0.320577767
CHKB,0.542870836,-2.7389856,-1.290014801,-0.079962176,-0.35696492,-0.1793537,-0.210578062,0.823740507,-0.26525714,0.852438417,0.971537718,-1.538177602
MCM5,-1.63387153,-1.256498099,-0.554858814,0.271372066,0.427171907,3.237033287,1.642686948,1.030271425,0.098432924,-0.069697913,0.064404718,-0.051103608
ASCC2,0.813299822,-0.670067602,1.036426561,1.458584635,0.040415105,2.02304341,0.905564315,0.597741804,-0.05372933,-1.204588447,-1.089895539,-0.252814153
GSTZ1,-1.877830613,-0.977616797,-0.915453987,-0.72946194,-1.134963744,1.271019706,0.383306086,1.55874975,0.443699053,0.652140571,-1.229072403,-0.167809616
ASB2,-0.045391017,-0.993229156,0.364133906,-0.676246256,0.375483498,2.982269703,-1.254448554,-0.046766672,0.21237889,1.967133828,-0.444267444,0.328767264
TELO2,-0.780305716,-0.290103798,-0.068044505,0.777008582,0.214301526,1.921555324,1.517768033,0.786358758,1.206568038,0.524022532,0.17990139,0.316623916
RPS6KA5,-0.763765635,-0.017844168,-0.833722782,-0.397967339,0.629844548,0.3619645,0.309223602,2.343941688,-0.970286052,0.104724006,0.266314582,-1.292239852
ACIN1,0.189101053,-0.710532222,0.372354753,0.198942194,-1.494805335,0.246874452,-0.806263991,1.095221333,-1.808775991,0.999815232,0.116204751,0.312640824
PCK2,-1.837486941,-1.307200912,-1.04165503,-0.851464035,-1.140855214,-0.841652616,0.202607601,-0.0813387,0.502769227,0.303523405,0.25334769,0.11042297
REC8,0.435959644,-0.812480266,0.220970297,0.40852458,-1.559623245,-2.907697329,0.544749966,-1.782960975,0.152355628,-0.081065859,-0.018296636,0.482278854
STK4,0.163480399,0.85639032,1.193587181,1.544339138,0.633875188,0.547954463,-0.447917515,0.698117835,-1.051830536,-0.876342088,-0.806565039,-1.293650002
GMEB2,-0.69581411,1.187899723,1.049796231,0.523740288,-0.67848824,0.722305906,0.198030241,-1.713792893,-1.965617333,-1.239087872,-0.752558749,-0.547953006
MYL9,0.205930951,0.445141055,-0.147890408,0.141808092,0.836680634,-0.740732959,-0.278503187,-0.668223889,0.5880042,-0.05101882,1.082940828,0.755007539
ZNF516,-0.75270367,0.684499381,0.168395088,1.081200693,-1.234593619,-0.871415525,-0.988820912,0.133143331,-1.669339254,-0.513391712,-1.090339572,-0.792516895
RNMT,0.146867114,0.387243811,0.362884344,0.453445611,0.073929177,-0.287003324,0.031330032,0.642290949,-0.152604523,-0.163508388,0.045524969,-0.21318368
ELMO3,0.241053343,-0.006954604,0.513517918,0.418524179,-0.997973017,-3.042480925,-0.13913005,-2.368632358,-0.186458625,0.154284687,0.563189549,-0.141993963
CENPT,1.841883038,-0.878313253,0.413750349,0.112790615,-0.382597918,1.536400726,0.350509345,0.855043125,0.211374957,0.738180164,-0.218769033,0.272241272
N4BP1,0.107920886,0.931215601,1.355196512,0.699655528,0.486055804,-2.371925559,-1.039141388,-1.936283393,-1.678842122,-0.670897323,-0.633243707,0.364825993
TSC2,0.651639889,-0.831938373,0.572980464,0.61243355,-0.595793068,-1.600570327,-0.566559201,-0.879658793,-2.168439186,0.92101166,-0.864077455,0.193566359
NUBP1,-1.31944234,-0.881348188,-0.568018618,0.082702983,1.209008147,2.035548349,0.198611742,0.002879824,1.298387565,0.745605205,-0.885687457,-0.982616437
RBL2,0.235360865,0.989524944,0.752711112,0.581735096,-0.209578449,-1.497108854,-0.287286265,-1.238350331,-0.709320926,0.298694774,0.092053685,-0.153413654
PYCARD,0.481824136,-0.648623843,-0.654367613,-0.528557299,-0.709533865,-2.175843097,-0.799068326,-1.626865582,1.069445784,0.327734373,0.111912724,0.382404916
FAH,-1.407691738,0.064400474,0.720391737,0.080892712,-0.214171575,3.136452599,0.010107543,2.027398666,0.083069849,0.232300735,-0.052690596,-0.838829274
BLOC1S6,0.036132212,0.636872447,-0.020820067,0.24896957,0.112248989,0.428815443,0.588980684,0.089080403,0.424711767,0.060053725,0.235336964,0.230373213
NIPAL2,0.151620752,0.308522136,0.707804121,0.504051495,-0.415810348,-0.265281333,1.335499405,0.484299714,0.02081464,0.026796371,0.387874506,0.730574551
SPAG1,-2.054477215,-0.387379351,0.8351213,-0.342983317,-0.286434906,1.915938072,1.073929618,0.045535517,0.974419121,0.708125343,-0.434664307,-0.312939161
CHRAC1,-1.06467395,-0.327286472,-0.318261066,-0.187814623,-0.193529119,3.294976066,0.22583245,2.472917412,0.194606813,0.194336949,-0.703397536,0.316031312
TSTA3,-0.38796625,-0.814999969,-0.776749755,-0.044441727,-0.135546369,2.789483285,0.894839151,2.144818782,1.150143737,0.302447009,0.062010793,-0.42531194
EEF1D,-0.249905677,-0.381359882,-0.138262628,-0.421049116,-0.504115883,3.326044762,-0.111196987,2.506590941,0.434277629,0.258834185,-0.069615215,-0.063395564
ASAH1,0.206944844,0.361372119,-0.017403839,-0.197975265,0.416211014,3.282107894,-0.662754791,1.376473884,-0.187634552,-0.467570726,0.108975359,0.013109465
DHDH,-2.1027954,-0.099453172,-1.102068099,0.22375192,-1.528941176,-0.356106546,-0.135609881,-0.825208886,-1.133627711,1.11739966,0.534889718,-0.171895727
SNRNP70,0.429424057,-2.820666546,0.057160093,-0.435767274,-0.621660625,-0.979043765,-0.55062005,-0.125804178,-0.307995138,1.145302256,0.654052972,-0.507373922
RNASEH2A,-0.474595691,-0.862238414,-0.505511982,-0.22653893,-0.41999797,2.83553495,1.375635496,1.586841296,1.382172066,0.537884876,0.266001204,0.156618027
SF3A2,-1.14085497,-1.149068282,-0.910935009,-0.517669259,-1.047332826,2.70970371,0.78499334,0.617231193,-0.328479637,-0.729158007,0.017151628,-0.295416827
DMPK,-0.381635736,-1.399364287,0.869130738,0.421146968,-0.676465895,0.743250391,-0.119985956,1.184073909,-2.187847882,-1.300096398,0.581446107,-1.390382254
MED25,-0.642057963,-1.264504036,-0.350756298,-1.261429744,-1.140535,0.513769367,0.318140134,1.245015093,0.389473066,-0.595045748,-0.868950032,-0.710644685
TIMM44,-0.23729435,0.297076295,-0.47508819,0.776326146,0.284847655,1.695590718,0.603358149,-0.783945424,1.360068763,-0.183489348,0.12732506,-0.29195137
ASF1B,-1.472276304,-1.389496884,-0.547497018,0.003279571,0.123749925,2.111451753,1.531141271,0.929702067,1.578686891,0.781950645,-0.057463206,0.552845944
RPS16,-0.793467618,-0.978640904,-1.573998478,-1.42312207,-1.116765737,0.500286827,-0.300979869,0.848934405,0.48074498,-0.295948269,0.038430561,-0.161602228
FBL,-1.078348337,-1.581195573,-0.703320761,-0.537444983,-0.142931621,1.142754444,0.011283558,1.160046869,1.968458007,1.122817778,-0.025571813,0.734005858
AKT2,-0.421255432,-0.697127916,0.944654165,0.51405332,-0.007304739,-1.239737311,1.068832742,-0.154625475,0.2923981,1.224497499,-0.59053644,-0.811615348
POLR2I,-1.030884365,-0.979363425,-0.448599113,0.885368298,-0.450344558,1.222233686,0.289779234,0.791677818,1.266248263,0.889464425,-0.252561804,-0.490774367
MYH14,0.974980857,0.416398752,0.710719134,0.383550265,-0.235592438,-2.518230938,1.389412973,-1.9863404,-0.118381636,0.897546808,0.143649809,0.712180753
RPS19,-3.515666208,-0.005653771,-1.466218491,-0.210849902,0.337058527,0.654385209,0.081849074,1.015536026,0.619313986,0.835285558,-0.262859315,0.249697265
LIG1,-1.056762578,-0.783436475,-0.765122828,0.199380207,0.022736727,2.289042696,1.499387191,0.955210369,1.483019852,0.087855823,-0.954045347,0.580172487
COPE,-0.198783678,-0.073245239,-0.625619857,-1.129008872,-0.120809104,0.72676045,0.087981611,1.213701053,0.225185423,-0.379647175,0.222452802,-0.649504889
LSR,0.503703173,-0.018808175,0.042916834,0.155665859,0.14403972,-3.189635786,-0.013011033,-2.237848268,-0.736755303,-0.398041861,0.243860018,-0.166541911
ETHE1,0.2710657,-0.841682271,-1.113278463,-0.67030164,0.007400534,-2.394178833,0.189589811,-1.379336335,0.699874547,0.409454913,0.573726303,0.051458309
BRAT1,-0.301976882,-0.448957532,-0.274635437,-0.100853915,-0.688996233,3.458842742,0.185164554,2.563052833,-0.18224585,-0.260718971,-0.429027076,0.210910644
NUDT1,-0.15906267,-0.287960713,-0.267507433,-0.08897283,-0.263552122,2.648807215,-0.307779846,2.540371789,1.29893121,0.067223035,-0.495183692,-0.332542016
ACTA2,0.895020333,0.287833606,-0.604082962,-1.844421762,-1.068211353,1.663713996,-0.973011579,2.621292681,-0.08219274,-0.015353599,-0.443122697,0.038525026
CDK5RAP3,-0.433246916,-0.831656957,0.266238123,0.284060369,0.953334077,2.134605157,0.287587014,0.521068574,0.449732816,0.818085796,0.740609105,-1.529724689
FTSJ3,-0.369400822,-0.458456726,0.155053699,-0.115447972,-0.319008464,3.372959078,0.504348773,2.404360614,0.824336566,0.08590883,-0.239713045,0.185191534
AKAP10,-0.173280306,0.449229576,-0.028564087,0.016576778,0.171895245,0.253602514,-0.832827092,0.521500033,-1.318589217,-0.392279108,-0.305878802,-0.221592035
MRPL27,-0.347369508,-0.781496217,-0.946490954,-0.840503238,-0.133831531,3.379474539,0.158510536,2.021007822,1.123216626,-0.104145413,0.337230358,0.023778054
ALOX12,-1.017291782,0.08832913,-0.675931966,0.235113821,0.180337738,-0.804758682,-0.841446829,-1.195451739,-0.872639727,-0.210807032,1.179748291,-0.101261383
SEPSECS,0.209985154,1.475697959,0.495487007,0.6878688,-0.02163554,-1.191239396,0.00214341,-0.386395064,-0.13344428,1.373783631,-1.20E-05,0.396329082
ZBTB16,-0.997391642,-0.485045572,-1.856060323,1.822156985,-0.804648849,-0.808511595,0.824798433,-0.019743453,-0.130931063,0.063033265,0.77037201,-0.120343751
DCPS,-0.61351762,-0.378068298,-0.141970925,-0.033818161,-0.124092433,4.099990801,-0.322262772,1.451417742,0.197761389,-0.489759144,0.031179322,0.069651314
TMEM109,-0.757264184,-0.470541266,-0.38116634,-0.3399465,-1.063545402,2.971090722,1.629993701,0.598975582,1.174277229,0.492504293,-0.567563331,0.87072904
SLC15A3,0.119880586,-0.729508866,-0.270519026,1.4776671,-1.401448783,-1.43141147,-0.571979103,-0.490079397,0.144711194,2.071607184,-0.446788974,-1.173894931
GTF2H1,-0.359732757,0.374879937,0.228436129,0.643419758,0.090278833,1.805160529,1.390928075,1.061638317,0.643046518,-0.11679089,0.001845474,-0.071864942
